Index,Record,Filename,Name,URL,Group,Library,Calcite,Chlorite,Dolomite,Goethite,Gypsum,Hematite,Illite+Muscovite,Kaolinite,Montmorillonite,Vermiculite,Iron Oxide,Clay,Carbonate,Sulfate,Sulfide,Artifical Materials,Vegetation,Coating,Biotite,Status_vs_527,T6_Filename,T6_Record,T6_Materials,T6_IDConfidence,NeedsSignoff,MappingNotes
16,732,group.1um/fe3+_goethite.lepidocrosite,Lepidocrosite GDS80 (Syn) W1R1Hb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Lepidocrocite_GDS80_(Syn)_BECKb_AREF.html,1,sprlb06,,,,1,,,,,,,,,,,,,,,,diverged,group.1um/fe3+_goethite.lepidocrosite,732,lepidocrosite,9,YES,diagnostic feature definition changed
17,5634,group.1um/fe2+_chlor+muscphy,Chlorite+Muscovite CU93-65A W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chlorite+Muscovite_CU93-65A_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+_chlor+muscphy,5634,chlorite+muscovite,9,no,
18,900,group.1um/fe2+_goeth+musc,Goethite CU91-252 coatedchip W1R1H_,No available USGS Spectral Library 7 Description Reference,1,sprlb06,,,,0.04,,,,,,,,,,,,,,,,diverged,group.1um/fe2+_goeth+musc,900,goethite+muscovite,9,YES,diagnostic feature definition changed
19,5604,group.1um/fe2+fe3+_chlor+goeth.propylzone,Chlor+Goethite CU93-4B Phyl W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chlor+Goethite_CU93-4B_Phyl_BECKa_AREF.html,1,splib06,,,,0.02,,,,,,,,,,,,,,,,diverged,group.1um/fe2+fe3+_chlor+goeth.propylzone,5604,chlorite+goethite,9,YES,diagnostic feature definition changed
20,1446,group.1um/fe2+generic_nrw.cummingtonite,Cummingtonite HS294.3B W1R1Bc,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Cummingtonite_HS294.3B_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_nrw.cummingtonite,1446,cummingtonite,9,no,
21,72,group.1um/fe2+generic_nrw.actinolite,Actinolite NMNHR16485 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite_NMNHR16485_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_nrw.actinolite,72,actinolite,9,no,
22,42,group.1um/fe2+generic_nrw.hs-actinolite,Actinolite HS22.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite_HS22.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_nrw.hs-actinolite,42,actinolite,9,no,
23,2334,group.1um/fe2+_pyroxene.hypersthene,Hypersthene NMNHC2368 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hypersthene_NMNHC2368_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,diverged,group.1um/fe2+_pyroxene.hypersthene,2334,pyroxene_hypersthene,9,YES,diagnostic feature definition changed
24,1548,group.1um/fe2+_pyroxene.diopside,Diopside NMNHR18685 ~160 Pyx W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Diopside_NMNHR18685_~160_Pyx_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+_pyroxene.diopside,1548,pyroxene_diopside,9,no,
25,2502,group.1um/fe2+generic_med.jadeite,Jadeite HS343.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Jadeite_HS343.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_med.jadeite,2502,fe2+generic_jadeite,9,no,
26,3966,group.1um/fe2+_pyroxene_clino_pigeonite,Pigeonite HS199.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pigeonite_HS199.3B_BECKc_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+_pyroxene_clino_pigeonite,3966,pyroxene_pigeonite,9,no,
27,1668,group.1um/epidote,Epidote GDS26.a 75-200um W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Epidote_GDS26.a_75-200um_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/epidote,1668,epidote,9,no,
28,5724,group.1um/fe3+bearing1,Fe-Hydroxide SU93-106 amorph W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Fe-Hydroxide_SU93-106_amorph_BECKb_AREF.html,1,splib06,,,,0.2,,,,,,,,,,,,,,,,identical,group.1um/fe3+bearing1,5724,fe3+bearing1,1,no,
29,1740,group.1um/fe3+_ferrihydrite,Ferrihydrite GDS75 Syn F6 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Ferrihydrite_GDS75_Syn_F6_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe3+_ferrihydrite,1740,fe3+_ferrihydrite,9,no,
30,738,group.1um/fe3+_hematite.med.gr.gds27,Hematite GDS27 W1R1Ha,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_GDS27_BECKa_AREF.html,1,sprlb06,,,,,,1,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.med.gr.gds27,738,hematite,9,YES,diagnostic feature definition changed
31,6198,group.1um/fe3+_hematite.thincoat,Hematite_Thin_Film GDS27 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Thin_Film_GDS27_BECKa_AREF.html,1,splib06,,,,,,0.05,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.thincoat,6198,hematite_smallgrain,9,YES,diagnostic feature definition changed
32,2100,group.1um/fe3+_hematite.fine.gr.fe2602,Hematite FE2602 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_FE2602_BECKb_AREF.html,1,splib06,,,,,,1,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.fine.gr.fe2602,2100,hematite,9,YES,diagnostic feature definition changed
